x,y,type,element_type,abs_errors,rel_errors,transient_err
4838.51,5267.87,0,0,-0.00424783,0.00424783,0,Gravel Pond
4836.03,5262.06,0,0,0.0021185,0.0021185,0,Gravel Pond
4752.35,5544.72,0,0,0.00169123,0.00169123,0,Gravel Pond
4756.63,5544.43,0,0,-0.0034551,0.0034551,0,Gravel Pond
4765.01,5543.87,0,0,0.00244488,0.00244488,0,Gravel Pond
4777.1,5543.05,0,0,-0.0013071,0.0013071,0,Gravel Pond
4792.4,5542.03,0,0,-0.000504033,0.000504033,0,Gravel Pond
4810.23,5540.83,0,0,0.00154505,0.00154505,0,Gravel Pond
4829.8,5539.51,0,0,-0.00251536,0.00251536,0,Gravel Pond
4850.27,5538.14,0,0,0.00225052,0.00225052,0,Gravel Pond
4870.75,5536.76,0,0,-0.00165719,0.00165719,0,Gravel Pond
4890.32,5535.44,0,0,-0.000120962,0.000120962,0,Gravel Pond
4908.15,5534.25,0,0,0.00189064,0.00189064,0,Gravel Pond
4923.44,5533.22,0,0,-0.00427644,0.00427644,0,Gravel Pond
4935.54,5532.4,0,0,0.00576018,0.00576018,0,Gravel Pond
4943.92,5531.84,0,0,-0.00666883,0.00666883,0,Gravel Pond
4948.2,5531.55,0,0,0.00329919,0.00329919,0,Gravel Pond
4459.43,5272.21,0,0,0.00450955,0.00450955,0,Gravel Pond
4465.7,5278.09,0,0,-0.00871598,0.00871598,0,Gravel Pond
4477.95,5289.6,0,0,0.00781597,0.00781597,0,Gravel Pond
4495.66,5306.23,0,0,-0.00561181,0.00561181,0,Gravel Pond
4518.05,5327.25,0,0,0.00276203,0.00276203,0,Gravel Pond
4544.14,5351.76,0,0,-0.000156629,0.000156629,0,Gravel Pond
4572.79,5378.66,0,0,-0.00191722,0.00191722,0,Gravel Pond
4602.75,5406.8,0,0,0.00301913,0.00301913,0,Gravel Pond
4632.72,5434.93,0,0,-0.00313365,0.00313365,0,Gravel Pond
4661.37,5461.84,0,0,0.0022216,0.0022216,0,Gravel Pond
4687.46,5486.34,0,0,-0.000631469,0.000631469,0,Gravel Pond
4709.85,5507.37,0,0,-0.00137131,0.00137131,0,Gravel Pond
4727.56,5524,0,0,0.00312114,0.00312114,0,Gravel Pond
4739.81,5535.5,0,0,-0.00412027,0.00412027,0,Gravel Pond
4746.07,5541.39,0,0,0.0022491,0.0022491,0,Gravel Pond
3700,1508.88,0,0,-2.9759e-07,2.9759e-07,0,Zone D
3700,1523.79,0,0,8.03571e-07,8.03571e-07,0,Zone D
3700,1552.95,0,0,-1.20547e-06,1.20547e-06,0,Zone D
3700,1595.1,0,0,1.36099e-06,1.36099e-06,0,Zone D
3700,1648.39,0,0,-1.31021e-06,1.31021e-06,0,Zone D
3700,1710.49,0,0,9.95001e-07,9.95001e-07,0,Zone D
3700,1778.69,0,0,-5.39716e-07,5.39716e-07,0,Zone D
3700,1850,0,0,-5.6454e-08,5.6454e-08,0,Zone D
3700,1921.31,0,0,5.98856e-07,5.98856e-07,0,Zone D
3700,1989.51,0,0,-1.09902e-06,1.09902e-06,0,Zone D
3700,2051.61,0,0,1.35533e-06,1.35533e-06,0,Zone D
3700,2104.9,0,0,-1.4431e-06,1.4431e-06,0,Zone D
3700,2147.05,0,0,1.22678e-06,1.22678e-06,0,Zone D
3700,2176.21,0,0,-8.51898e-07,8.51898e-07,0,Zone D
3700,2191.12,0,0,2.91499e-07,2.91499e-07,0,Zone D
3700,1203.81,0,0,4.78725e-08,4.78725e-08,0,Zone D
3700,1210.19,0,0,3.14917e-07,3.14917e-07,0,Zone D
3700,1222.69,0,0,3.9221e-07,3.9221e-07,0,Zone D
3700,1240.76,0,0,3.82022e-07,3.82022e-07,0,Zone D
3700,1263.6,0,0,3.51552e-07,3.51552e-07,0,Zone D
3700,1290.21,0,0,3.17027e-07,3.17027e-07,0,Zone D
3700,1319.44,0,0,2.82616e-07,2.82616e-07,0,Zone D
3700,1350,0,0,2.49807e-07,2.49807e-07,0,Zone D
3700,1380.56,0,0,2.20391e-07,2.20391e-07,0,Zone D
3700,1409.79,0,0,1.94551e-07,1.94551e-07,0,Zone D
3700,1436.4,0,0,1.72441e-07,1.72441e-07,0,Zone D
3700,1459.24,0,0,1.50549e-07,1.50549e-07,0,Zone D
3700,1477.31,0,0,1.05859e-07,1.05859e-07,0,Zone D
3700,1489.81,0,0,-8.55211e-08,8.55211e-08,0,Zone D
3700,1496.19,0,0,-9.54255e-07,9.54255e-07,0,Zone D
3700,410.147,0,0,3.9107e-07,3.9107e-07,0,Zone D
3700,427.186,0,0,-6.0813e-07,6.0813e-07,0,Zone D
3700,460.518,0,0,1.17435e-06,1.17435e-06,0,Zone D
3700,508.687,0,0,-9.52744e-07,9.52744e-07,0,Zone D
3700,569.588,0,0,1.03041e-06,1.03041e-06,0,Zone D
3700,640.559,0,0,-2.04204e-07,2.04204e-07,0,Zone D
3700,718.499,0,0,-9.4397e-08,9.4397e-08,0,Zone D
3700,800,0,0,1.36404e-06,1.36404e-06,0,Zone D
3700,881.501,0,0,-1.57635e-06,1.57635e-06,0,Zone D
3700,959.441,0,0,2.83087e-06,2.83087e-06,0,Zone D
3700,1030.41,0,0,-2.4316e-06,2.4316e-06,0,Zone D
3700,1091.31,0,0,3.10803e-06,3.10803e-06,0,Zone D
3700,1139.48,0,0,-1.91309e-06,1.91309e-06,0,Zone D
3700,1172.81,0,0,1.898e-06,1.898e-06,0,Zone D
3700,1189.85,0,0,-1.53072e-07,1.53072e-07,0,Zone D
6464.48,400,0,0,0,0,0,Zone D
6404.85,400,0,0,0,0,0,Zone D
6288.19,400,0,0,0,0,0,Zone D
6119.59,400,0,0,0,0,0,Zone D
5906.44,400,0,0,0,0,0,Zone D
5658.04,400,0,0,0,0,0,Zone D
5385.25,400,0,0,0,0,0,Zone D
5100,400,0,0,0,0,0,Zone D
4814.75,400,0,0,0,0,0,Zone D
4541.96,400,0,0,0,0,0,Zone D
4293.56,400,0,0,0,0,0,Zone D
4080.41,400,0,0,0,0,0,Zone D
3911.81,400,0,0,0,0,0,Zone D
3795.15,400,0,0,0,0,0,Zone D
3735.52,400,0,0,0,0,0,Zone D
6500,3164.48,0,0,0,0,0,Zone D
6500,3104.85,0,0,0,0,0,Zone D
6500,2988.19,0,0,0,0,0,Zone D
6500,2819.59,0,0,0,0,0,Zone D
6500,2606.44,0,0,0,0,0,Zone D
6500,2358.04,0,0,0,0,0,Zone D
6500,2085.25,0,0,0,0,0,Zone D
6500,1800,0,0,0,0,0,Zone D
6500,1514.75,0,0,0,0,0,Zone D
6500,1241.96,0,0,0,0,0,Zone D
6500,993.559,0,0,0,0,0,Zone D
6500,780.405,0,0,0,0,0,Zone D
6500,611.813,0,0,0,0,0,Zone D
6500,495.15,0,0,0,0,0,Zone D
6500,435.516,0,0,0,0,0,Zone D
5808.88,3200,0,0,0,0,0,Zone D
5823.79,3200,0,0,0,0,0,Zone D
5852.95,3200,0,0,0,0,0,Zone D
5895.1,3200,0,0,0,0,0,Zone D
5948.39,3200,0,0,0,0,0,Zone D
6010.49,3200,0,0,0,0,0,Zone D
6078.69,3200,0,0,0,0,0,Zone D
6150,3200,0,0,0,0,0,Zone D
6221.31,3200,0,0,0,0,0,Zone D
6289.51,3200,0,0,0,0,0,Zone D
6351.61,3200,0,0,0,0,0,Zone D
6404.9,3200,0,0,0,0,0,Zone D
6447.05,3200,0,0,0,0,0,Zone D
6476.21,3200,0,0,0,0,0,Zone D
6491.12,3200,0,0,0,0,0,Zone D
5503.81,3101.27,0,0,0,0,0,Zone D
5510.19,3103.4,0,0,0,0,0,Zone D
5522.69,3107.56,0,0,0,0,0,Zone D
5540.76,3113.59,0,0,0,0,0,Zone D
5563.6,3121.2,0,0,0,0,0,Zone D
5590.21,3130.07,0,0,0,0,0,Zone D
5619.44,3139.81,0,0,0,0,0,Zone D
5650,3150,0,0,0,0,0,Zone D
5680.56,3160.19,0,0,0,0,0,Zone D
5709.79,3169.93,0,0,0,0,0,Zone D
5736.4,3178.8,0,0,0,0,0,Zone D
5759.24,3186.41,0,0,0,0,0,Zone D
5777.31,3192.44,0,0,0,0,0,Zone D
5789.81,3196.6,0,0,0,0,0,Zone D
5796.19,3198.73,0,0,0,0,0,Zone D
3722.83,2211.42,0,0,-2.2305e-05,2.2305e-05,0,Zone D
3761.17,2230.58,0,0,6.11858e-05,6.11858e-05,0,Zone D
3836.17,2268.08,0,0,-8.55225e-05,8.55225e-05,0,Zone D
3944.55,2322.27,0,0,8.85027e-05,8.85027e-05,0,Zone D
4081.57,2390.79,0,0,-6.87104e-05,6.87104e-05,0,Zone D
4241.26,2470.63,0,0,2.8752e-05,2.8752e-05,0,Zone D
4416.62,2558.31,0,0,2.50832e-05,2.50832e-05,0,Zone D
4600,2650,0,0,-8.32012e-05,8.32012e-05,0,Zone D
4783.38,2741.69,0,0,0.000136954,0.000136954,0,Zone D
4958.74,2829.37,0,0,-0.000175757,0.000175757,0,Zone D
5118.43,2909.21,0,0,0.000194711,0.000194711,0,Zone D
5255.45,2977.73,0,0,-0.00018758,0.00018758,0,Zone D
5363.83,3031.92,0,0,0.000156914,0.000156914,0,Zone D
5438.83,3069.42,0,0,-0.000103335,0.000103335,0,Zone D
5477.17,3088.58,0,0,3.67682e-05,3.67682e-05,0,Zone D
3668.29,400,0,0,0,0,0,Zone C
3615.04,400,0,0,0,0,0,Zone C
3510.88,400,0,0,0,0,0,Zone C
3360.35,400,0,0,0,0,0,Zone C
3170.04,400,0,0,0,0,0,Zone C
2948.25,400,0,0,0,0,0,Zone C
2704.69,400,0,0,0,0,0,Zone C
2450,400,0,0,0,0,0,Zone C
2195.31,400,0,0,0,0,0,Zone C
1951.75,400,0,0,0,0,0,Zone C
1729.96,400,0,0,0,0,0,Zone C
1539.65,400,0,0,0,0,0,Zone C
1389.12,400,0,0,0,0,0,Zone C
1284.96,400,0,0,0,0,0,Zone C
1231.71,400,0,0,0,0,0,Zone C
3700,1189.85,0,0,0,0,0,Zone C
3700,1172.81,0,0,0,0,0,Zone C
3700,1139.48,0,0,0,0,0,Zone C
3700,1091.31,0,0,0,0,0,Zone C
3700,1030.41,0,0,0,0,0,Zone C
3700,959.441,0,0,0,0,0,Zone C
3700,881.501,0,0,0,0,0,Zone C
3700,800,0,0,0,0,0,Zone C
3700,718.499,0,0,0,0,0,Zone C
3700,640.559,0,0,0,0,0,Zone C
3700,569.588,0,0,0,0,0,Zone C
3700,508.687,0,0,0,0,0,Zone C
3700,460.518,0,0,0,0,0,Zone C
3700,427.186,0,0,0,0,0,Zone C
3700,410.147,0,0,0,0,0,Zone C
3700,1496.19,0,0,0,0,0,Zone C
3700,1489.81,0,0,0,0,0,Zone C
3700,1477.31,0,0,0,0,0,Zone C
3700,1459.24,0,0,0,0,0,Zone C
3700,1436.4,0,0,0,0,0,Zone C
3700,1409.79,0,0,0,0,0,Zone C
3700,1380.56,0,0,0,0,0,Zone C
3700,1350,0,0,0,0,0,Zone C
3700,1319.44,0,0,0,0,0,Zone C
3700,1290.21,0,0,0,0,0,Zone C
3700,1263.6,0,0,0,0,0,Zone C
3700,1240.76,0,0,0,0,0,Zone C
3700,1222.69,0,0,0,0,0,Zone C
3700,1210.19,0,0,0,0,0,Zone C
3700,1203.81,0,0,0,0,0,Zone C
3700,2191.12,0,0,0,0,0,Zone C
3700,2176.21,0,0,0,0,0,Zone C
3700,2147.05,0,0,0,0,0,Zone C
3700,2104.9,0,0,0,0,0,Zone C
3700,2051.61,0,0,0,0,0,Zone C
3700,1989.51,0,0,0,0,0,Zone C
3700,1921.31,0,0,0,0,0,Zone C
3700,1850,0,0,0,0,0,Zone C
3700,1778.69,0,0,0,0,0,Zone C
3700,1710.49,0,0,0,0,0,Zone C
3700,1648.39,0,0,0,0,0,Zone C
3700,1595.1,0,0,0,0,0,Zone C
3700,1552.95,0,0,0,0,0,Zone C
3700,1523.79,0,0,0,0,0,Zone C
3700,1508.88,0,0,0,0,0,Zone C
1863.59,2200,0,0,5.70823e-06,5.70823e-06,0,Zone C
1903.21,2200,0,0,-1.66887e-05,1.66887e-05,0,Zone C
1980.7,2200,0,0,2.41637e-05,2.41637e-05,0,Zone C
2092.7,2200,0,0,-2.79573e-05,2.79573e-05,0,Zone C
2234.29,2200,0,0,2.59062e-05,2.59062e-05,0,Zone C
2399.3,2200,0,0,-1.95083e-05,1.95083e-05,0,Zone C
2580.51,2200,0,0,8.23612e-06,8.23612e-06,0,Zone C
2770,2200,0,0,4.48097e-06,4.48097e-06,0,Zone C
2959.49,2200,0,0,-1.76974e-05,1.76974e-05,0,Zone C
3140.7,2200,0,0,2.74524e-05,2.74524e-05,0,Zone C
3305.71,2200,0,0,-3.32465e-05,3.32465e-05,0,Zone C
3447.3,2200,0,0,3.30851e-05,3.30851e-05,0,Zone C
3559.3,2200,0,0,-2.8152e-05,2.8152e-05,0,Zone C
3636.79,2200,0,0,1.85902e-05,1.85902e-05,0,Zone C
3676.41,2200,0,0,-6.6106e-06,6.6106e-06,0,Zone C
1208.12,422.832,0,0,0,0,0,Zone C
1221.75,461.168,0,0,0,0,0,Zone C
1248.41,536.166,0,0,0,0,0,Zone C
1286.95,644.546,0,0,0,0,0,Zone C
1335.67,781.573,0,0,0,0,0,Zone C
1392.45,941.258,0,0,0,0,0,Zone C
1454.8,1116.62,0,0,0,0,0,Zone C
1520,1300,0,0,0,0,0,Zone C
1585.2,1483.38,0,0,0,0,0,Zone C
1647.55,1658.74,0,0,0,0,0,Zone C
1704.33,1818.43,0,0,0,0,0,Zone C
1753.05,1955.45,0,0,0,0,0,Zone C
1791.59,2063.83,0,0,0,0,0,Zone C
1818.25,2138.83,0,0,0,0,0,Zone C
1831.88,2177.17,0,0,0,0,0,Zone C
3300,1203.81,0,0,0,0,0,Bedrock
3300,1210.19,0,0,0,0,0,Bedrock
3300,1222.69,0,0,0,0,0,Bedrock
3300,1240.76,0,0,0,0,0,Bedrock
3300,1263.6,0,0,0,0,0,Bedrock
3300,1290.21,0,0,0,0,0,Bedrock
3300,1319.44,0,0,0,0,0,Bedrock
3300,1350,0,0,0,0,0,Bedrock
3300,1380.56,0,0,0,0,0,Bedrock
3300,1409.79,0,0,0,0,0,Bedrock
3300,1436.4,0,0,0,0,0,Bedrock
3300,1459.24,0,0,0,0,0,Bedrock
3300,1477.31,0,0,0,0,0,Bedrock
3300,1489.81,0,0,0,0,0,Bedrock
3300,1496.19,0,0,0,0,0,Bedrock
3694.93,1200,0,0,0,0,0,Bedrock
3686.41,1200,0,0,0,0,0,Bedrock
3669.74,1200,0,0,0,0,0,Bedrock
3645.66,1200,0,0,0,0,0,Bedrock
3615.21,1200,0,0,0,0,0,Bedrock
3579.72,1200,0,0,0,0,0,Bedrock
3540.75,1200,0,0,0,0,0,Bedrock
3500,1200,0,0,0,0,0,Bedrock
3459.25,1200,0,0,0,0,0,Bedrock
3420.28,1200,0,0,0,0,0,Bedrock
3384.79,1200,0,0,0,0,0,Bedrock
3354.34,1200,0,0,0,0,0,Bedrock
3330.26,1200,0,0,0,0,0,Bedrock
3313.59,1200,0,0,0,0,0,Bedrock
3305.07,1200,0,0,0,0,0,Bedrock
5477.17,1200,0,0,0,0,0,Bedrock
5438.83,1200,0,0,0,0,0,Bedrock
5363.83,1200,0,0,0,0,0,Bedrock
5255.45,1200,0,0,0,0,0,Bedrock
5118.43,1200,0,0,0,0,0,Bedrock
4958.74,1200,0,0,0,0,0,Bedrock
4783.38,1200,0,0,0,0,0,Bedrock
4600,1200,0,0,0,0,0,Bedrock
4416.62,1200,0,0,0,0,0,Bedrock
4241.26,1200,0,0,0,0,0,Bedrock
4081.57,1200,0,0,0,0,0,Bedrock
3944.55,1200,0,0,0,0,0,Bedrock
3836.17,1200,0,0,0,0,0,Bedrock
3761.17,1200,0,0,0,0,0,Bedrock
3722.83,1200,0,0,0,0,0,Bedrock
5500,1496.19,0,0,0,0,0,Bedrock
5500,1489.81,0,0,0,0,0,Bedrock
5500,1477.31,0,0,0,0,0,Bedrock
5500,1459.24,0,0,0,0,0,Bedrock
5500,1436.4,0,0,0,0,0,Bedrock
5500,1409.79,0,0,0,0,0,Bedrock
5500,1380.56,0,0,0,0,0,Bedrock
5500,1350,0,0,0,0,0,Bedrock
5500,1319.44,0,0,0,0,0,Bedrock
5500,1290.21,0,0,0,0,0,Bedrock
5500,1263.6,0,0,0,0,0,Bedrock
5500,1240.76,0,0,0,0,0,Bedrock
5500,1222.69,0,0,0,0,0,Bedrock
5500,1210.19,0,0,0,0,0,Bedrock
5500,1203.81,0,0,0,0,0,Bedrock
3722.83,1500,0,0,0,0,0,Bedrock
3761.17,1500,0,0,0,0,0,Bedrock
3836.17,1500,0,0,0,0,0,Bedrock
3944.55,1500,0,0,0,0,0,Bedrock
4081.57,1500,0,0,0,0,0,Bedrock
4241.26,1500,0,0,0,0,0,Bedrock
4416.62,1500,0,0,0,0,0,Bedrock
4600,1500,0,0,0,0,0,Bedrock
4783.38,1500,0,0,0,0,0,Bedrock
4958.74,1500,0,0,0,0,0,Bedrock
5118.43,1500,0,0,0,0,0,Bedrock
5255.45,1500,0,0,0,0,0,Bedrock
5363.83,1500,0,0,0,0,0,Bedrock
5438.83,1500,0,0,0,0,0,Bedrock
5477.17,1500,0,0,0,0,0,Bedrock
3305.07,1500,0,0,0,0,0,Bedrock
3313.59,1500,0,0,0,0,0,Bedrock
3330.26,1500,0,0,0,0,0,Bedrock
3354.34,1500,0,0,0,0,0,Bedrock
3384.79,1500,0,0,0,0,0,Bedrock
3420.28,1500,0,0,0,0,0,Bedrock
3459.25,1500,0,0,0,0,0,Bedrock
3500,1500,0,0,0,0,0,Bedrock
3540.75,1500,0,0,0,0,0,Bedrock
3579.72,1500,0,0,0,0,0,Bedrock
3615.21,1500,0,0,0,0,0,Bedrock
3645.66,1500,0,0,0,0,0,Bedrock
3669.74,1500,0,0,0,0,0,Bedrock
3686.41,1500,0,0,0,0,0,Bedrock
3694.93,1500,0,0,0,0,0,Bedrock
3676.41,2200,0,0,0,0,0,Zone B
3636.79,2200,0,0,0,0,0,Zone B
3559.3,2200,0,0,0,0,0,Zone B
3447.3,2200,0,0,0,0,0,Zone B
3305.71,2200,0,0,0,0,0,Zone B
3140.7,2200,0,0,0,0,0,Zone B
2959.49,2200,0,0,0,0,0,Zone B
2770,2200,0,0,0,0,0,Zone B
2580.51,2200,0,0,0,0,0,Zone B
2399.3,2200,0,0,0,0,0,Zone B
2234.29,2200,0,0,0,0,0,Zone B
2092.7,2200,0,0,0,0,0,Zone B
1980.7,2200,0,0,0,0,0,Zone B
1903.21,2200,0,0,0,0,0,Zone B
1863.59,2200,0,0,0,0,0,Zone B
5477.17,3088.58,0,0,0,0,0,Zone B
5438.83,3069.42,0,0,0,0,0,Zone B
5363.83,3031.92,0,0,0,0,0,Zone B
5255.45,2977.73,0,0,0,0,0,Zone B
5118.43,2909.21,0,0,0,0,0,Zone B
4958.74,2829.37,0,0,0,0,0,Zone B
4783.38,2741.69,0,0,0,0,0,Zone B
4600,2650,0,0,0,0,0,Zone B
4416.62,2558.31,0,0,0,0,0,Zone B
4241.26,2470.63,0,0,0,0,0,Zone B
4081.57,2390.79,0,0,0,0,0,Zone B
3944.55,2322.27,0,0,0,0,0,Zone B
3836.17,2268.08,0,0,0,0,0,Zone B
3761.17,2230.58,0,0,0,0,0,Zone B
3722.83,2211.42,0,0,0,0,0,Zone B
3525.37,3100,0,0,0,0,0,Zone B
3567.96,3100,0,0,0,0,0,Zone B
3651.3,3100,0,0,0,0,0,Zone B
3771.72,3100,0,0,0,0,0,Zone B
3923.97,3100,0,0,0,0,0,Zone B
4101.4,3100,0,0,0,0,0,Zone B
4296.25,3100,0,0,0,0,0,Zone B
4500,3100,0,0,0,0,0,Zone B
4703.75,3100,0,0,0,0,0,Zone B
4898.6,3100,0,0,0,0,0,Zone B
5076.03,3100,0,0,0,0,0,Zone B
5228.28,3100,0,0,0,0,0,Zone B
5348.7,3100,0,0,0,0,0,Zone B
5432.04,3100,0,0,0,0,0,Zone B
5474.63,3100,0,0,0,0,0,Zone B
3500,4482.24,0,0,0,0,0,Zone B
3500,4452.42,0,0,0,0,0,Zone B
3500,4394.09,0,0,0,0,0,Zone B
3500,4309.8,0,0,0,0,0,Zone B
3500,4203.22,0,0,0,0,0,Zone B
3500,4079.02,0,0,0,0,0,Zone B
3500,3942.63,0,0,0,0,0,Zone B
3500,3800,0,0,0,0,0,Zone B
3500,3657.37,0,0,0,0,0,Zone B
3500,3520.98,0,0,0,0,0,Zone B
3500,3396.78,0,0,0,0,0,Zone B
3500,3290.2,0,0,0,0,0,Zone B
3500,3205.91,0,0,0,0,0,Zone B
3500,3147.58,0,0,0,0,0,Zone B
3500,3117.76,0,0,0,0,0,Zone B
2660.78,3789.13,0,0,0,0,0,Zone B
2678.88,3804.47,0,0,0,0,0,Zone B
2714.3,3834.47,0,0,0,0,0,Zone B
2765.48,3877.82,0,0,0,0,0,Zone B
2830.19,3932.63,0,0,0,0,0,Zone B
2905.59,3996.5,0,0,0,0,0,Zone B
2988.4,4066.65,0,0,0,0,0,Zone B
3075,4140,0,0,0,0,0,Zone B
3161.6,4213.35,0,0,0,0,0,Zone B
3244.41,4283.5,0,0,0,0,0,Zone B
3319.81,4347.37,0,0,0,0,0,Zone B
